AKCAOGLU2016,2016,Games,Educational Games,Computer Games,Preservice Teachers,Workshops,Design,Critical Thinking,Problem Solving,Teaching Methods,Teacher Education Programs,Case Studies,Reflection,Participatory Research,Learning Experience,Elementary Secondary Education,Educational Technology,Technology Integration,Technology Uses in Education,Technological Advancement,Constructivism (Learning),Pedagogical Content Knowledge,Technological Literacy,Research Design,Lesson Plans,Preschool Education,,,,,,,
ASINGCAS2014,2014,Open Source Technology,Computer Software Reviews,Preservice Teachers,Investigations,Teacher Competencies,Student Teacher Attitudes,Intention,Technology Uses in Education,Technology Integration,Educational Technology,Technology Education,Structural Equation Models,Likert Scales,Questionnaires,Predictor Variables,Undergraduate Students,Online Surveys,Beliefs,Self Efficacy ,,,,,,,,,,,,,
BAERTSTE2014,2014,Physical Education,Preservice Teacher Education,Role Models,Technology Integration,Preservice Teachers,Student Attitudes,Technology Uses in Education,Pedagogical Content Knowledge,Student Surveys,Mixed Methods Research,Regression (Statistics) ,,,,,,,,,,,,,,,,,,,,,
BAKIR2015,2015,Preservice Teachers,Teacher Education,Teacher Education Programs,Technology Integration,Educational Technology,Technology Uses in Education,Case Studies,Barriers,Semi Structured Interviews,Technology Education,Influence of Technology,Faculty Development,College Faculty ,,,,,,,,,,,,,,,,,,,
BANISTER2013,2013,Educational Technology,Teacher Education Curriculum,Elementary Secondary Education,Preservice Teacher Education,Teacher Evaluation,Preservice Teachers,Teacher Education,Teacher Education Programs,Inservice Teacher Education,Technology Uses in Education,Technology Integration,Higher Education ,,,,,,,,,,,,,,,,,,,,
BESCHORN2016,2016,Preservice Teachers,Technology Integration,Educational Technology,Technology Uses in Education,Lesson Plans,Literacy Education,Elementary Education,Planning,Case Studies,Coding,Video Technology,Audio Equipment,Reflection,Interviews ,,,,,,,,,,,,,,,,,,
BRENNER2016,2016,Educational Practices,Teacher Education,Technology Integration,Educational Technology,Beginning Teachers,Preservice Teacher Education,Transfer of Training,Prior Learning,Barriers,Teacher Surveys,Interviews,Investigations ,,,,,,,,,,,,,,,,,,,,
BROMLEYF2014,2014,Preservice Teachers,Internet,Computer Uses in Education,Educational Technology,Writing Assignments,Responses,Elementary School Students,Group Discussion,Discussion (Teaching Technique),Reading Assignments ,,,,,,,,,,,,,,,,,,,,,,
BROWN2013,2013,Mixed Methods Research,Mathematics Instruction,Science Instruction,Technology Education,Teacher Education Programs,Program Effectiveness,Mathematics Teachers,Science Teachers,Teacher Competencies,Pedagogical Content Knowledge,Knowledge Base for Teaching,Teacher Persistence,Financial Support,Interdisciplinary Approach,Technology Integration,Teaching Skills,Predictor Variables,STEM Education,Faculty Development,Teacher Certification,Interviews,Mentors,Beginning Teacher Induction,Problem Based Learning,Multiple Regression Analysis ,,,,,,,
BRUCECHI2015,2015,Teacher Attitudes,Video Technology,Teaching Methods,Teacher Education,English Teachers,Language Arts,Faculty Development,Surveys,Multiple Literacies,Writing (Composition),Models,Preservice Teachers,Student Attitudes,Correlation,Statistical Analysis,Writing Processes,Relevance (Education),Cooperative Learning,English Instruction,Poetry,Questionnaires,Qualitative Research ,,,,,,,,,,
