from,to
lesson plans,instructional design
curriculum development,instructional design
learning activities,instructional design
college faculty,teacher educators
faculty development,teacher educators
college school cooperation,field experiences
field experience programs,field experiences
student teaching,field experiences
teaching skills,pedagogy
teaching methods,pedagogy
educational practices,pedagogy
inquiry,stem education
elementary school science,stem education
secondary school science,stem education
instructional effectiveness,teacher effectiveness
teacher competencies,teacher effectiveness
knowledge,tpack
educational strategies,pedagogy
internet,specific technologies
telecommunications,specific technologies
web sites,specific technologies
course descriptions,course metadata
special education teachers,sped
course content,course metadata
course objectives,course metadata
student teacher evaluation,teacher effectiveness
thinking skills,metacognition
decision making,metacognition
literacy education,ela
language arts,ela
computer simulation,simulations and games
games,simulations and games
simulated environment,simulations and games
science education,stem education
technological literacy,technology literacy
computer literacy,technology literacy
astronomy,stem education
achievement gains,teacher effectiveness
childrens literature,ela
cognitive development,metacognition
competence,teacher effectiveness
competency based teacher education,teacher effectiveness
computer software,specific technologies
content area reading,ela
course organization,course metadata
curriculum implementation,instructional design
electronic equipment,specific technologies
faculty,teacher educators
information literacy,technology literacy
information skills,technology literacy
instruction,pedagogy
internship programs,field experiences
investigations,stem education
literacy,ela
media literacy,technology literacy
multiple literacies,technology literacy
objectives,course metadata
partnerships in education,field experiences
performance factors,teacher effectiveness
alignment education,teacher effectiveness
open source technology,specific technologies
program descriptions,program metadata
program development,program metadata
questioning techniques,pedagogy
reader response,ela
reading assignments,ela
reading instruction,ela
reading strategies,ela
science activities,stem education
transfer of training,metacognition
web 2.0 technologies,specific technologies
writing across the curriculum,ela
writing assignments,ela
writing composition,ela
writing instruction,ela
writing processes,ela
writing skills,ela
access to computers,structural technology issues
barriers,structural technology issues
common core state standards,educational standards
comprehension,ela
computer mediated communication,specific technologies
computer assisted instruction,learning systems
educational innovation,educational change
educational objectives,instructional design
educational planning,instructional design
educational trends,educational change
experimental programs,educational change
english instruction,ela
expertise,teacher effectiveness
financial support,structural technology issues
instructional innovation,educational change
instructional material evaluation,instructional design
integrated learning systems,learning systems
courseware,learning systems
intervention,educational change
laptop computers,specific technologies
national standards,educational standards
planning,instructional design
poetry,ela
prior learning,metacognition
problem solving,metacognition
professional development schools,field experiences
web based instruction,learning systems
content area writing,ela
teacher competency testing,teacher effectiveness
assignments,instructional design
audio equipment,specific technologies
electronic publishing,specific technologies
